Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000885138044595389,0.091569992471877,-0.0157912683455369,0,0,0,5.32485366509137,0.0219378727233069,-4.01751561825068E-06,-1.47975198133798E-06,0.0232029020939231,-8.06521337675044E-06,0.0149048926646327,0,0,0,0,0,0,package://wb/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://wb/meshes/base_link.STL,,Body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.014999,-0.045394,-0.010257,0,0,0,0.26437,3.2075E-05,1.6485E-08,-1.5645E-07,6.2915E-05,-2.9641E-09,6.2207E-05,0,0,0,0,0,0,package://wb/meshes/LFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://wb/meshes/LFS.STL,,Suspensionsystem-1,Origin_LFS,,LFS,fixed,0.15547,-0.081499,0.071088,1.5708,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
LFW,0.015,0,0,0,0,0,0.23932,0.00030041,0,3.9525E-37,0.00016815,1.6518E-36,0.00016815,0,0,0,0,0,0,package://wb/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://wb/meshes/LFW.STL,,wheel-2,Origin_LFW,Axis_LFW,LFW,continuous,-0.028277,-0.075889,-0.023,3.1416,0,3.1416,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,0.043348,-0.044691,-0.0097432,0,0,0,0.26437,3.2075E-05,-1.6485E-08,1.5645E-07,6.2915E-05,-2.9641E-09,6.2207E-05,0,0,0,0,0,0,package://wb/meshes/RFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://wb/meshes/RFS.STL,,Suspensionsystem2-1,Origin_RFS,,RFS,fixed,-0.18382,-0.1015,0.071088,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
RFW,-0.015,0,0,0,0,0,0.23932,0.00030041,0,1.9376E-37,0.00016815,-6.7763E-21,0.00016815,0,0,0,0,0,0,package://wb/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://wb/meshes/RFW.STL,,wheel-1,Origin_RFW,Axis_RFW,RFW,continuous,0,-0.075175,-0.023,-0.18687,0,0,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,-0.0067868,0.0021513,0.059195,0,0,0,0.11411,7.8941E-05,1.7655E-21,1.1472E-06,5.1512E-05,3.4904E-21,7.839E-05,0,0,0,0,0,0,package://wb/meshes/LBS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://wb/meshes/LBS.STL,,back_ball-2,Origin_LBS,,LBS,fixed,0.23339,0.055845,-0.008519,-1.5708,0,0.89134,base_link,0,0,0,,,,,,,,,,,,
RBS,-0.0067868,0.0021513,0.059195,0,0,0,0.11411,7.8941E-05,5.5532E-22,1.1472E-06,5.1512E-05,5.8797E-21,7.839E-05,0,0,0,0,0,0,package://wb/meshes/RBS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://wb/meshes/RBS.STL,,back_ball-1,Origin_RBS,,RBS,fixed,-0.23339,0.12116,-0.008519,-1.5708,0,-2.2503,base_link,0,0,0,,,,,,,,,,,,
cam1,0.049836,0.061784,0.068723,0,0,0,0.043612,4.2948E-06,-8.8548E-10,-1.0183E-09,2.2106E-05,2.1758E-08,2.3571E-05,0,0,0,0,0,0,package://wb/meshes/cam1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://wb/meshes/cam1.STL,,Webcam_C920-1,Origin_cam1,,cam1,fixed,-0.049835,-0.022219,0.13322,2.3562,0,0,base_link,0,0,0,,,,,,,,,,,,
cam2,0.049836,0.061784,0.068723,0,0,0,0.043612,4.2948E-06,-8.8579E-10,-1.0181E-09,2.2106E-05,2.1758E-08,2.3571E-05,0,0,0,0,0,0,package://wb/meshes/cam2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://wb/meshes/cam2.STL,,Webcam_C920-2,Origin_cam2,,cam2,fixed,-0.049839,-0.046422,0.10251,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
Lidar,-0.078493,-0.74443,-0.13345,0,0,0,0.073085,1.9581E-05,4.2839E-07,-1.0393E-07,4.1418E-05,-9.4271E-09,2.4125E-05,0,0,0,0,0,0,package://wb/meshes/Lidar.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://wb/meshes/Lidar.STL,,RPLidar-1,Origin_Lidar,,Lidar,fixed,0.13292,-0.027939,-0.53869,-1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
